,Country,Job title,Gender,Quantity,Country percentage ‰
89,Spain,Data Security Administrator,Female,6,10.309278350515465
90,Spain,Data Security Administrator,Male,5,8.591065292096221
91,Spain,Data Security Analyst,Female,6,10.309278350515465
92,Spain,Data Security Analyst,Male,4,6.8728522336769755
93,Spain,Data Storage Specialist,Female,1,1.7182130584192439
94,Spain,Data Storage Specialist,Male,4,6.8728522336769755
95,Spain,Data Systems Manager,Female,4,6.8728522336769755
96,Spain,Data Systems Manager,Male,7,12.027491408934708
97,Spain,Data Technician,Male,2,3.4364261168384878
98,Spain,Data Transcriber,Female,1,1.7182130584192439
99,Spain,Data Transcriber,Male,1,1.7182130584192439
100,Spain,Data Typist,Female,1,1.7182130584192439
101,Spain,Data Warehouse Analyst,Female,4,6.8728522336769755
102,Spain,Data Warehouse Analyst,Male,4,6.8728522336769755
103,Spain,Data Warehouse Architect,Female,5,8.591065292096221
104,Spain,Data Warehouse Architect,Male,4,6.8728522336769755
105,Spain,Data Warehouse Developer,Male,2,3.4364261168384878
106,Spain,Data Warehouse Specialist,Female,5,8.591065292096221
107,Spain,Data Warehouse Specialist,Male,4,6.8728522336769755
108,Spain,Data Warehousing Engineer,Female,4,6.8728522336769755
109,Spain,Data Warehousing Engineer,Male,1,1.7182130584192439
110,Spain,Data Warehousing Manager,Female,4,6.8728522336769755
111,Spain,Data Warehousing Manager,Male,1,1.7182130584192439
112,Spain,Data Warehousing Specialist,Female,1,1.7182130584192439
113,Spain,Data Warehousing Specialist,Male,2,3.4364261168384878
114,Spain,Database Administration Associate,Female,3,5.154639175257732
115,Spain,Database Administration Associate,Male,4,6.8728522336769755
116,Spain,Database Administration Manager,Female,1,1.7182130584192439
117,Spain,Database Administration Manager,Male,7,12.027491408934708
118,Spain,Database Administration Project Manager,Female,2,3.4364261168384878
119,Spain,Database Architect,Female,2,3.4364261168384878
120,Spain,Database Architect,Male,6,10.309278350515465
121,Spain,Database Consultant,Female,1,1.7182130584192439
122,Spain,Database Consultant,Male,2,3.4364261168384878
123,Spain,Database Coordinator,Female,8,13.745704467353951
124,Spain,Database Coordinator,Male,4,6.8728522336769755
125,Spain,Database Design Analyst,Female,4,6.8728522336769755
126,Spain,Database Designer,Male,5,8.591065292096221
127,Spain,Database Developer,Female,1,1.7182130584192439
128,Spain,Database Development Project Manager,Female,1,1.7182130584192439
129,Spain,Database Development Project Manager,Male,1,1.7182130584192439
130,Spain,Database Development and Administration Project Manager,Female,6,10.309278350515465
131,Spain,Database Development and Administration Project Manager,Male,7,12.027491408934708
132,Spain,Database Engineer,Female,6,10.309278350515465
133,Spain,Database Engineer,Male,5,8.591065292096221
134,Spain,Database Management System Specialist (DBMS Specialist),Female,4,6.8728522336769755
135,Spain,Database Management System Specialist (DBMS Specialist),Male,9,15.463917525773196
136,Spain,Database Manager,Female,2,3.4364261168384878
137,Spain,Database Manager,Male,7,12.027491408934708
138,Spain,Database Marketing Analyst,Female,3,5.154639175257732
139,Spain,Database Marketing Analyst,Male,3,5.154639175257732
140,Spain,Database Modeler,Female,1,1.7182130584192439
141,Spain,Database Modeler,Male,1,1.7182130584192439
142,Spain,Database Security Administrator,Female,4,6.8728522336769755
143,Spain,Database Security Administrator,Male,4,6.8728522336769755
144,Spain,Database Security Expert,Female,3,5.154639175257732
145,Spain,Database Security Expert,Male,5,8.591065292096221
146,Spain,Database Software Technician,Female,2,3.4364261168384878
147,Spain,Database Software Technician,Male,6,10.309278350515465
148,Spain,Database Specialist,Female,2,3.4364261168384878
149,Spain,Database Specialist,Male,3,5.154639175257732
150,Spain,Database Technician,Male,1,1.7182130584192439
151,Spain,Database Tester,Male,3,5.154639175257732
152,Spain,Databases Computer Consultant,Female,2,3.4364261168384878
153,Spain,Databases Computer Consultant,Male,3,5.154639175257732
154,Spain,Databases Software Consultant,Female,3,5.154639175257732
155,Spain,Databases Software Consultant,Male,4,6.8728522336769755
156,Spain,Datastage Developer,Male,1,1.7182130584192439
157,Spain,Director of Data Operations,Female,5,8.591065292096221
158,Spain,Director of Data Operations,Male,3,5.154639175257732
159,Spain,Electronic Data Interchange System Developer (EDI System Developer),Female,3,5.154639175257732
160,Spain,Electronic Data Interchange System Developer (EDI System Developer),Male,6,10.309278350515465
161,Spain,Electronic Data Processing Auditor (EDP Auditor),Female,3,5.154639175257732
162,Spain,Electronic Data Processing Auditor (EDP Auditor),Male,3,5.154639175257732
163,Spain,"Engineer, System Electronic Data Processing (Engineer, System EDP)",Female,4,6.8728522336769755
164,Spain,"Engineer, System Electronic Data Processing (Engineer, System EDP)",Male,1,1.7182130584192439
165,Spain,Field Artillery Automated Tactical Data System Specialist,Female,1,1.7182130584192439
166,Spain,Field Artillery Automated Tactical Data System Specialist,Male,1,1.7182130584192439
167,Spain,Field Traffic Data Technician,Male,1,1.7182130584192439
168,Spain,Flight Data Technician,Male,1,1.7182130584192439
169,Spain,Flight Test Data Acquisition Technician,Female,1,1.7182130584192439
170,Spain,Flight Test Data Acquisition Technician,Male,2,3.4364261168384878
171,Spain,Geographic Information Systems Data Administrator (GIS Data Administrator),Female,4,6.8728522336769755
172,Spain,Geographic Information Systems Data Administrator (GIS Data Administrator),Male,5,8.591065292096221
173,Spain,Geographic Information Systems Data Manager (GIS Data Manager),Female,4,6.8728522336769755
174,Spain,Geographic Information Systems Data Manager (GIS Data Manager),Male,6,10.309278350515465
175,Spain,Geographic Information Systems Data Specialist (GIS Data Specialist),Female,2,3.4364261168384878
176,Spain,Geographic Information Systems Data Specialist (GIS Data Specialist),Male,3,5.154639175257732
177,Spain,Geographic Information Systems Database Administrator (GIS Database Administrator),Female,2,3.4364261168384878
178,Spain,Geographic Information Systems Database Administrator (GIS Database Administrator),Male,6,10.309278350515465
179,Spain,Head of Information Systems and Data Processing,Female,3,5.154639175257732
180,Spain,Head of Information Systems and Data Processing,Male,5,8.591065292096221
181,Spain,Health Data Analyst,Male,2,3.4364261168384878
182,Spain,Internet Database Specialist,Female,2,3.4364261168384878
183,Spain,Internet Database Specialist,Male,1,1.7182130584192439
184,Spain,LiDAR Data Analyst,Female,1,1.7182130584192439
185,Spain,LiDAR Data Analyst,Male,1,1.7182130584192439
186,Spain,Maintenance Data Analyst,Male,1,1.7182130584192439
187,Spain,Marketing Database Analyst,Male,1,1.7182130584192439
188,Spain,Medical Data Analyst,Male,1,1.7182130584192439
189,Spain,Micro Computer Data Processor,Female,2,3.4364261168384878
190,Spain,Micro Computer Data Processor,Male,1,1.7182130584192439
191,Spain,Naval Tactical Data System--Combat Information Center Officer,Female,1,1.7182130584192439
192,Spain,Naval Tactical Data System--Combat Information Center Officer,Male,2,3.4364261168384878
193,Spain,"Operations Officer, Afloat (Naval Tactical Data Systems)",Male,1,1.7182130584192439
194,Spain,Oracle Database Administrator (Oracle DBA),Female,3,5.154639175257732
195,Spain,Oracle Database Administrator (Oracle DBA),Male,4,6.8728522336769755
196,Spain,Reference Data Expert,Female,1,1.7182130584192439
197,Spain,Reference Data Expert,Male,1,1.7182130584192439
198,Spain,SCADA Operator (Supervisory Control and Data Acquisition Operator),Male,1,1.7182130584192439
199,Spain,SCADA Technician (Supervisory Control and Data Acquisition Technician),Female,1,1.7182130584192439
200,Spain,SQL Database Administrator,Female,3,5.154639175257732
201,Spain,SQL Database Administrator,Male,5,8.591065292096221
202,Spain,Scientific Database Curator,Male,2,3.4364261168384878
203,Spain,Survey Data Technician,Female,1,1.7182130584192439
204,Spain,Voice and Data Technician,Female,1,1.7182130584192439
205,Spain,Voice and Data Technician,Male,1,1.7182130584192439
206,Spain,Weight in Motion Field Data Collection Technician,Female,2,3.4364261168384878
207,Spain,Weight in Motion Field Data Collection Technician,Male,2,3.4364261168384878
